Serial	TestCode	TestName	Pruchase	Rate	Unit	Category	Tax	Reference	Serial
209	LT209	Carcinoembryonic Antigen (CEA) (By ECLI Method)	0	0	ng/ml	Tumour Marker Study 	0	Non smokers: Upto 5.0 ng/ml; Smokers: Upto 6.5 ng/ml	209
210	LT210	CA 125 (By ECLI Method)	0	0	U/ml	Tumour Marker Study 	0	<35 U/ml : Negative; >35 U/ml : Positive	210
211	LT211	CA 15 3 (By ECLI Method)	0	0	U/ml	Tumour Marker Study 	0	< 25 U/ml : Negative; > 25 U/ml : Positive	211
212	LT212	CA 19 9 (By ECLI Method)	0	0	U/ml	Tumour Marker Study 	0	0 – 39 U/ml	212
213	LT213	Free Prostate Specific Antigen (Free PSA) By (ECLI Method)	0	0	ng/ml	Tumour Marker Study 	0	0.05 – 0.25 ng/ml	213
214	LT214	Total Prostate Specific Antigen (Total PSA) (By ECLI Method)	0	0	ng/ml	Tumour Marker Study 	0	Negative : <4.0 ng/ml; Positive : >4.0 ng/ml	214
215	LT215	Carbamazepine	0	0	µg/ml	Serum Therapeutic Drug Assay	0	Therapeutic Level: 4 – 12 µg/ml	215
216	LT216	ANCA-MPO (pANCA) (By Elisa Method)	0	0	IU/ml	Serology	0	Negative: < 5.0 IU/ml; Positive: > 5.0 IU/ml	216
217	LT217	ANCA-PR3 (cANCA) (By Elisa Method)	0	0	IU/ml	Serology	0	Negative: < 3.5 IU/ml; Positive: > 3.5 IU/ml	217
218	LT218	Anti Sperm Antibody (ASA) (By Elisa Method)	0	0	U/ml	Serology	0	0 – 60 U/ml	218
219	LT219	Anti Nuclear Antibody (ANA) (By Elisa Method)	0	0	U/ml	Serology	0	Negative: < 10 ; Positive: > 10	219
220	LT220	ASO Titre (ASO) (By Immuno Turbidimetry Method)	0	0	IU/ml	Serology	0	Negative: < 200 IU/ml; Positive: > 200 IU/ml	220
221	LT221	C Reactive Protein (CRP) (By Immuno Turbidimetry Method)	0	0	mg/L	Serology	0	Negative: < 5 mg/L; Positive: > 5 mg/L	221
222	LT222	Rheumatoid Factor (RF) (By Immuno Turbidimetry Method)	0	0	IU/ml	Serology	0	Negative: < 30 IU/ml; Positive: > 30 IU/ml	222
223	LT223	hs CRP (Cardio CRP) (By Immunoturbidimetry Method)	0	0	mg/L	Serology	0	Male:5 – 13 yrs: < 1.45 mg/L; 14 – 18 yrs: < 2.13 mg/L; 19 – 39 yrs: < 2.68 mg/L; 40 – 49 yrs: < 4.80 mg/L; 50 – 64 yrs: < 7.90 mg/L; 65 – 99 yrs: < 6.80 mg/L; Female: 5 – 18 yrs: < 1.90 mg/L; 19 – 49 yrs: < 3.33 mg/L; 50 – 64 yrs: < 8.50 mg/L; 65 – 99 yrs: < 6.60 mg/L	223
224	LT224	Anti TB – IgA (Mycobacterium tuberculosis Antibody – IgA) (By Elisa Method)	0	0	U	Serology	0	Negative: < 200 U; Equivocal: 201 - 350; Positive: > 350 U	224
225	LT225	Anti TB – IgM (Mycobacterium tuberculosis Antibody – IgM) (By Elisa Method)	0	0	U	Serology	0	Negative: < 0.8 U; Equivocal: 0.8 – 1.0; Positive: > 1.0 U	225
226	LT226	Anti TB – IgG (Mycobacterium tuberculosis Antibody – IgG) (By Elisa Method)	0	0	U	Serology	0	Negative: < 125; Equivocal: 125 – 225; Positive: > 225 U	226
227	LT227	C3 (Third component of complement) (By Immunoturbidimetry Method)	0	0	mg/dL	Serology	0	Neonates: 70 – 196 mg/dL; Adults: 90 – 180 mg/dL	227
228	LT228	C4 (Fourth component of complement) (By Immunoturbidimetry Method)	0	0	mg/dL	Serology	0	Neonates: 13 – 38 mg/dL; Adults: 10 – 40 mg/dL	228
229	LT229	Cardiolipin Ab IgG (By Elisa Method)	0	0	GPL/ml	Serology	0	Negative :<10 GPL/ml; Positive :>10GPL/ml	229
230	LT230	Cardiolipin Ab IgM (By Elisa Method)	0	0	MPL/ ml	Serology	0	Negative :<10 MPL/ml; Positive :>10 MPL/ ml	230
231	LT231	Cardiolipin Ab IgA (By Elisa Method)	0	0	APL/ ml	Serology	0	Negative :<10 APL/ ml; Positive :>10 APL/ ml	231
232	LT232	Phospholipid Ab IgM (By Elisa Method)	0	0	U/ml	Serology	0	Negative :<15 U/ml; Positive :>15 U/ml	232
233	LT233	Phospholipid Ab IgG (By Elisa Method)	0	0	U/ml	Serology	0	Negative :<15 U/ml; Positive :>15 U/ml	233
234	LT234	Ds DNA (Quantitative Assay) (By Elisa Method)	0	0	IU/ml	Serology	0	Negative < 50 IU/ml; Positive > 50 IU/ml	234
235	LT235	Dengue Ab – IgM (By Elisa Method)	0	0	Negative	Serology	0		235
236	LT236	Dengue Ab – IgG (By Elisa Method)	0	0	Negative	Serology	0		236
237	LT237	Chikungunya – IgM	0	0	Negative	Serology	0		237
238	LT238	Salmonella typhi “O”	0	0	Dilution	Blood Widal Test – Slide Method	0	Negative	238
239	LT239	Salmonella typhi “H”	0	0	Dilution	Blood Widal Test – Slide Method	0	Negative	239
240	LT240	Salmonella paratyphi “AH”	0	0	Dilution	Blood Widal Test – Slide Method	0	Negative	240
241	LT241	Salmonella paratyphi “BH”	0	0	Dilution	Blood Widal Test – Slide Method	0	Negative	241
242	LT242	Rh – Antibody ( Titre)	0	0		Blood Widal Test – Slide Method	0		242
243	LT243	Leptospira Ab – IgM (By Elisa Method)	0	0	Panbiounit	Blood Widal Test – Slide Method	0	Negative :<9 ; Equivocal :9 – 11 	243
244	LT244	Leptospira Ab – IgG (By Elisa Method)	0	0	Panbiounit	Blood Widal Test – Slide Method	0	Negative :<9 ; Equivocal :9 – 11 	244
245	LT245	Leptospira Screening – MAT	0	0		Blood Widal Test – Slide Method	0		245
246	LT246	Leptospira Screening – MAT	0	0		Blood Widal Test – Slide Method	0		246
247	LT247	Leptospira Screening – Dark Field Microscopy (DFM)	0	0		Blood Widal Test – Slide Method	0		247
248	LT248	Leptospira Screening – MSAT	0	0		Blood Widal Test – Slide Method	0		248
249	LT249	Immunoglobulin E (IgE) (By ECLI Method)	0	0	IU/ml	Blood Widal Test – Slide Method	0	Neonates: Upto 1.5 IU/ml; Infants 1 yr: Upto 15 IU/ml;	249
250	LT250	HCV Ab (Anti HCV) (By ECLI Method)	0	0	Reactive/Non Reactive	Blood Widal Test – Slide Method	0		250
251	LT251	HIV I & II Ab (Anti HIV I & II) (By ECLI Method)	0	0	Reactive/Non Reactive	Blood Widal Test – Slide Method	0		251
252	LT252	HAV Ab IgG (Anti HAV IgG) (By CLIA Method)	0	0	Negative/Positive	Blood Widal Test – Slide Method	0		252
253	LT253	HAV Ab IgM (Anti HAV IgM)(By CLIA Method)	0	0	Negative/Positive	Blood Widal Test – Slide Method	0		253
254	LT254	HBsAg (Surface Antigen) (By ECLI Method)	0	0	Reactive/Non Reactive	Blood Widal Test – Slide Method	0		254
255	LT255	Anti HBc Total (HBc Ab Total)(By ECLI Method)	0	0	Negative/Positive	Blood Widal Test – Slide Method	0		255
256	LT256	Anti HBc IgM (HBc Ab IgM) (By ECLI Method)	0	0	Negative/Positive	Blood Widal Test – Slide Method	0		256
257	LT257	HBsAb (Anti HBs / HBs Titre) (Quantitative Assay) (By ECLI Method)	0	0	IU/L	Blood Widal Test – Slide Method	0	Anti HBs Level:·      Less than 10 IU/L : Revaccination to be done immediately; ·      10 – 100 IU/L : Revaccination to be done after 3 – 6 months; ·      100 – 1000 IU/L : Revaccination to be done after one year; ·      1000 – 10000 IU/L : Revaccination to be done after 3 – 5 years; ·      More than 10000 IU/L : Revaccination to be done after 7 years	257
258	LT258	HEV Ab IgM (Anti HEV IgM) (By Elisa Method)	0	0	Negative/Positive	Blood Widal Test – Slide Method	0		258
259	LT259	HBe Ag (By ECLI Method)	0	0	Negative / Positive	Blood Widal Test – Slide Method	0		259
260	LT260	HBe Ab (Anti HBe) (By Elisa Method)	0	0	Negative / Positive	Blood Widal Test – Slide Method	0		260
261	LT261	VDRL (By Haemagglutination Method)	0	0	Non Reactive / Reactive	Blood Widal Test – Slide Method	0		261
262	LT262	TPHA (By Haemagglutination Method)	0	0	Non Reactive / Reactive	Blood Widal Test – Slide Method	0		262
263	LT263	Toxoplasma Antibody–IgM (Toxo Ab– IgM) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	263
264	LT264	Rubella Antibody – IgM(Rubella Ab–IgM) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	264
265	LT265	Cyto Megalo Virus Antibody – IgM (CMV Ab – IgM) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	265
266	LT266	Herpes Simplex Virus I& II Antibody – IgM (HSV I &II Ab – IgM) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	266
267	LT267	Toxoplasma Antibody – IgG (Toxo Ab – IgG) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	267
268	LT268	Rubella Antibody – IgG (Rubella Ab-IgG) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.5; Equivocal: 0.5 – 1.1; Positive: > 1.1 	268
269	LT269	Cyto Megalo Virus Antibody – IgG (CMV Ab – IgG) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1 	269
270	LT270	Herpes Simplex Virus I Antibody – IgG (HSV I Ab – IgG) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	270
271	LT271	Herpes Simplex Virus II Antibody – IgG (HSV II Ab – IgG) (By Elisa Method)	0	0		Torch Panel	0	Negative: < 0.9; Equivocal: 0.9 – 1.1; Positive: > 1.1	271
272	LT272	Urine for Pregnancy	0	0	Negative/Positive	Urine Analysis	0		272
273	LT273	Bence Jones Protein	0	0	Negative/Positive	Urine Analysis	0		273
274	LT274	24 Hrs Urine Analysis (Volume: __ ml)	0	0		Urine Analysis	0		274
275	LT275	Protein	0	0	mg/dl in 24 hrs	Urine Analysis	0	42 - 225 mg/dl in 24 hrs	275
276	LT276	Cortisol	0	0	ug/day	Urine Analysis	0	55.52 – 286 ug/day	276
277	LT277	24 Hrs Oxalate (Enzymatic)	0	0	mg/24 hrs	Urine Analysis	0	7 – 44 mg/24 hrs	277
278	LT278	Creatinine	0	0	mg/dl in 24 hrs	Urine Analysis	0	800 - 2800 mg/dl in 24 hrs	278
279	LT279	VMA	0	0	mg/24 hrs	Urine Analysis	0	1.8 – 7.1 mg/24 hrs	279
280	LT280	Sodium	0	0	mmol/24 hrs	Urine Analysis	0	40 - 220 mmol/24 hrs	280
281	LT281	Potassium	0	0	mmol/24 hrs	Urine Analysis	0	25 – 125 mmol/24 hrs	281
282	LT282	Chloride	0	0	mEq/24 hrs	Urine Analysis	0	110 – 250 mEq/24 hrs	282
283	LT283	Bicarbonate	0	0	mEq/24 hrs	Urine Analysis	0		283
284	LT284	Albumin	0	0	mg/24 hrs	Urine Analysis	0	15 - 150 mg/24 hrs	284
285	LT285	Calcium	0	0	mg/24 hrs	Urine Analysis	0	Average diet: 100 – 240 mg/day; Low calcium diet: < 150 mg/day; High calcium diet: 240 – 300 mg/day	285
286	LT286	Urea	0	0	mmol/24 hrs	Urine Analysis	0	428 - 714 mmol/24 hrs	286
287	LT287	Uric Acid	0	0	mg/24 hrs	Urine Analysis	0	250 - 750 mg/24 hrs	287
288	LT288	Phosphorus	0	0	gm/24 hrs	Urine Analysis	0	0.4 – 1.3 gm/24 hrs	288
289	LT289	Copper	0	0	ug/24 hrs	Urine Analysis	0	10 – 60 ug/24 hrs	289
290	LT290	Magnesium	0	0	mg/24 hrs	Urine Analysis	0	73 – 122 mg/24 hrs	290
291	LT291	Creatinine Clearance	0	0	ml/min	Urine Analysis	0	Male:Upto 30 Yrs: 88 – 146 ml/min; 30 – 40 Yrs: 82 – 140; 40 – 50 Yrs: 75 – 133; 50 – 60: 68 – 126; 60 – 70: 61 – 120; 70 – 80: 55 – 113 ml/min;Female: Upto 30 Yrs: 81 – 134 ml/min;30 – 40 Yrs: 75 – 128; 40 – 50 Yrs: 69 – 122; 50 – 60: 64 – 116; 60 – 70: 58 – 110; 70 – 80: 52 – 105 ml/min	291
292	LT292	Urine Spot Micro albumin	0	0	mg/l	Urine Analysis	0	·      Normal range: Less than 20 mg/l; ·      Microalbuminuria: 20 – 200 mg/l; ·      Macroalbuminuria: More than 200 mg/l	292
293	LT293	Urine for Spot Urea	0	0	mmol/L	Urine Analysis	0		293
294	LT294	Urine for Spot Sodium	0	0	mmol/L	Urine Analysis	0		294
295	LT295	Urine for Spot Potassium	0	0	mmol/L	Urine Analysis	0		295
296	LT296	Urine for Spot Protein	0	0	mg/dl	Urine Analysis	0		296
297	LT297	Urine for Spot Creatinine	0	0	mg/dl	Urine Analysis	0		297
298	LT298	Urine for Protein Creatinine Ratio	0	0		Urine Analysis	0		298
299	LT299	Urine for Spot Uric acid	0	0	mg/dl	Urine Analysis	0		299
300	LT300	Urine for Spot Calcium	0	0	mg/dl	Urine Analysis	0		300
301	LT301	Cocaine	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		301
302	LT302	Amphetamines	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		302
303	LT303	Methamphetamines	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		303
304	LT304	Morphine	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		304
305	LT305	Tetrahydrocannabinol	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		305
306	LT306	PCP	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		306
307	LT307	Barbiturates	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		307
308	LT308	Methadone	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		308
309	LT309	Benzodiazepines	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		309
310	LT310	Tricyclic anti-depressants	0	0	Negative / Positive	Drug Abuse Screening (Urine)	0		310
